Date,Close
,AMZN
2024-05-28,182.14999389648438
2024-05-29,182.02000427246094
2024-05-30,179.32000732421875
2024-05-31,176.44000244140625
2024-06-03,178.33999633789062
2024-06-04,179.33999633789062
2024-06-05,181.27999877929688
2024-06-06,185.0
2024-06-07,184.3000030517578
2024-06-10,187.05999755859375
2024-06-11,187.22999572753906
2024-06-12,186.88999938964844
2024-06-13,183.8300018310547
2024-06-14,183.66000366210938
2024-06-17,184.05999755859375
2024-06-18,182.80999755859375
2024-06-20,186.10000610351562
2024-06-21,189.0800018310547
2024-06-24,185.57000732421875
2024-06-25,186.33999633789062
2024-06-26,193.61000061035156
2024-06-27,197.85000610351562
2024-06-28,193.25
2024-07-01,197.1999969482422
2024-07-02,200.0
2024-07-03,197.58999633789062
2024-07-05,200.0
2024-07-08,199.2899932861328
2024-07-09,199.33999633789062
2024-07-10,199.7899932861328
2024-07-11,195.0500030517578
2024-07-12,194.49000549316406
2024-07-15,192.72000122070312
2024-07-16,193.02000427246094
2024-07-17,187.92999267578125
2024-07-18,183.75
2024-07-19,183.1300048828125
2024-07-22,182.5500030517578
2024-07-23,186.41000366210938
2024-07-24,180.8300018310547
2024-07-25,179.85000610351562
2024-07-26,182.5
2024-07-29,183.1999969482422
2024-07-30,181.7100067138672
2024-07-31,186.97999572753906
2024-08-01,184.07000732421875
2024-08-02,167.89999389648438
2024-08-05,161.02000427246094
2024-08-06,161.92999267578125
2024-08-07,162.77000427246094
2024-08-08,165.8000030517578
2024-08-09,166.94000244140625
2024-08-12,166.8000030517578
2024-08-13,170.22999572753906
2024-08-14,170.10000610351562
2024-08-15,177.58999633789062
2024-08-16,177.05999755859375
2024-08-19,178.22000122070312
2024-08-20,178.8800048828125
2024-08-21,180.11000061035156
2024-08-22,176.1300048828125
2024-08-23,177.0399932861328
2024-08-26,175.5
2024-08-27,173.1199951171875
2024-08-28,170.8000030517578
2024-08-29,172.1199951171875
2024-08-30,178.5
2024-09-03,176.25
2024-09-04,173.3300018310547
2024-09-05,177.88999938964844
2024-09-06,171.38999938964844
2024-09-09,175.39999389648438
2024-09-10,179.5500030517578
2024-09-11,184.52000427246094
2024-09-12,187.0
2024-09-13,186.49000549316406
2024-09-16,184.88999938964844
2024-09-17,186.8800048828125
2024-09-18,186.42999267578125
2024-09-19,189.8699951171875
2024-09-20,191.60000610351562
2024-09-23,193.8800048828125
2024-09-24,193.9600067138672
2024-09-25,192.52999877929688
2024-09-26,191.16000366210938
2024-09-27,187.97000122070312
2024-09-30,186.3300018310547
2024-10-01,185.1300048828125
2024-10-02,184.75999450683594
2024-10-03,181.9600067138672
2024-10-04,186.50999450683594
2024-10-07,180.8000030517578
2024-10-08,182.72000122070312
2024-10-09,185.1699981689453
2024-10-10,186.64999389648438
2024-10-11,188.82000732421875
2024-10-14,187.5399932861328
2024-10-15,187.69000244140625
2024-10-16,186.88999938964844
2024-10-17,187.52999877929688
2024-10-18,188.99000549316406
2024-10-21,189.07000732421875
2024-10-22,189.6999969482422
2024-10-23,184.7100067138672
2024-10-24,186.3800048828125
2024-10-25,187.8300018310547
2024-10-28,188.38999938964844
2024-10-29,190.8300018310547
2024-10-30,192.72999572753906
2024-10-31,186.39999389648438
2024-11-01,197.92999267578125
2024-11-04,195.77999877929688
2024-11-05,199.5
2024-11-06,207.08999633789062
2024-11-07,210.0500030517578
2024-11-08,208.17999267578125
2024-11-11,206.83999633789062
2024-11-12,208.91000366210938
2024-11-13,214.10000610351562
2024-11-14,211.47999572753906
2024-11-15,202.61000061035156
2024-11-18,201.6999969482422
2024-11-19,204.61000061035156
2024-11-20,202.8800048828125
2024-11-21,198.3800048828125
2024-11-22,197.1199951171875
2024-11-25,201.4499969482422
2024-11-26,207.86000061035156
2024-11-27,205.74000549316406
2024-11-29,207.88999938964844
2024-12-02,210.7100067138672
2024-12-03,213.44000244140625
2024-12-04,218.16000366210938
2024-12-05,220.5500030517578
2024-12-06,227.02999877929688
2024-12-09,226.08999633789062
2024-12-10,225.0399932861328
2024-12-11,230.25999450683594
